transformation,closest_reaction,delta_mz_observed,delta_mz_error,metabolite_from,mz_from,rt_from,metabolite_to,mz_to,rt_to,method
HILIC-pos_QI381--->HILIC-pos_QI934,[M+K]+,39.022999999999996,0.059841899909066854,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI934--->HILIC-pos_QI948,M+1,0.9953000000000145,0.008054837799985393,HILIC-pos_QI934,133.0649,0.31,HILIC-pos_QI948,134.0602,1.04,HILIC-pos
HILIC-pos_QI934--->HILIC-pos_QI1440,[M+Na]+,22.97720000000001,0.012020700990920119,HILIC-pos_QI934,133.0649,0.31,HILIC-pos_QI1440,156.0421,1.04,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI934,[M+Na]+,23.00439999999999,0.015179299009059122,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI934,[M+Na]+,23.00439999999999,0.015179299009059122,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI381--->HILIC-pos_QI934,[M+K]+,39.022999999999996,0.059841899909066854,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI934,133.0649,0.31,HILIC-pos
HILIC-pos_QI381--->HILIC-pos_QI932,[M+K]+,39.01050000000001,0.04734189990907822,HILIC-pos_QI381,94.0419,0.32,HILIC-pos_QI932,133.0524,1.1,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI826,[M+Na]+,23.004500000000007,0.015279299009076652,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI826,127.1119,0.32,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI1660,[M+K]+,38.97439999999999,0.011241899909059327,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI3219,[M+CF3COO]-,112.94169999999998,0.04388747902909529,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI3219,240.0536,1.2,HILIC-pos
HILIC-pos_QI826--->HILIC-pos_QI808,[M-H]-,-1.0567000000000064,0.04942354767907631,HILIC-pos_QI826,127.1119,0.32,HILIC-pos_QI808,126.0552,1.28,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI826,[M+Na]+,23.004500000000007,0.015279299009076652,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI826,127.1119,0.32,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI822,[M+Na]+,22.932000000000002,0.057220700990928464,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI822,127.0394,1.03,HILIC-pos
HILIC-pos_QI478--->HILIC-pos_QI820,[M+Na]+,22.931799999999996,0.0574207009909351,HILIC-pos_QI478,104.1074,0.35,HILIC-pos_QI820,127.0392,1.38,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5498,[M+Na]+,22.946399999999983,0.04282070099094781,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5498,459.2886,1.18,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5501,[M+Na]+,23.015800000000013,0.02657929900908229,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5501,459.358,1.37,HILIC-pos
HILIC-pos_QI5226--->HILIC-pos_QI5348,[M+NH4]+,18.01940000000002,0.014425553810912817,HILIC-pos_QI5226,418.3228,1.44,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos
HILIC-pos_QI5348--->HILIC-pos_QI5720,[M+CH3COO]-,59.09879999999998,0.08494708428091258,HILIC-pos_QI5348,436.3422,0.35,HILIC-pos_QI5720,495.441,1.53,HILIC-pos
HILIC-pos_QI808--->HILIC-pos_QI2125,[M+CH3COO]-,58.930400000000006,0.08345291571906444,HILIC-pos_QI808,126.0552,1.28,HILIC-pos_QI2125,184.9856,0.38,HILIC-pos
HILIC-pos_QI2125--->HILIC-pos_QI2862,[M+K]+,39.002700000000004,0.039541899909075084,HILIC-pos_QI2125,184.9856,0.38,HILIC-pos_QI2862,223.9883,1.43,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI2740--->HILIC-pos_QI3113,[M+NH4]+,17.985199999999992,0.04862555381093969,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos
HILIC-pos_QI1784--->HILIC-pos_QI2740,[M+HCOO]-,45.0453,0.04709714874092441,HILIC-pos_QI1784,171.049,1.33,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1802--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1802,171.1015,1.39,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI2734--->HILIC-pos_QI3113,[M+NH4]+,17.9854,0.04842555381093305,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos
HILIC-pos_QI1784--->HILIC-pos_QI2734,[M+HCOO]-,45.04509999999999,0.04689714874091777,HILIC-pos_QI1784,171.049,1.33,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI1802--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1802,171.1015,1.39,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4042,[M+NH4]+,17.988699999999994,0.04512555381093719,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI3820,M+1,0.9256000000000313,0.07775483779996861,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3807,[M+Na]+,23.061499999999967,0.07227929900903618,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI1660--->HILIC-pos_QI3807,[M+CF3COO]-,113.03649999999999,0.050912520970911146,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI3113--->HILIC-pos_QI3807,[M+HCOO]-,45.04329999999999,0.04509714874091486,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4300,[M+K]+,39.02539999999999,0.06224189990906126,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4300,318.1482,1.05,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI3820,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI4143,[M+Na]+,23.016099999999994,0.02687929900906383,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI4066,[M+NH4]+,18.010800000000017,0.02302555381091409,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI4066,299.1272,1.17,HILIC-pos
HILIC-pos_QI3219--->HILIC-pos_QI3885,[M+HCOO]-,44.989100000000036,0.009102851259036981,HILIC-pos_QI3219,240.0536,1.2,HILIC-pos_QI3885,285.0427,0.97,HILIC-pos
HILIC-pos_QI3268--->HILIC-pos_QI3885,[M+CH4CN]+,42.040400000000034,0.006574446189105743,HILIC-pos_QI3268,243.0023,1.26,HILIC-pos_QI3885,285.0427,0.97,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI4042,[M+NH4]+,17.988699999999994,0.04512555381093719,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI4042,[M+NH4]+,17.97429999999997,0.059525553810960474,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI4042--->HILIC-pos_QI4266,[M+NH4]+,18.010400000000004,0.02342555381092737,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos_QI4266,315.1219,1.24,HILIC-pos
HILIC-pos_QI3412--->HILIC-pos_QI4042,[M+HCOO]-,45.05789999999999,0.05969714874091636,HILIC-pos_QI3412,252.0536,1.33,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI5823--->HILIC-pos_QI5954,[M+Na]+,23.016399999999976,0.027179299009045366,HILIC-pos_QI5823,514.1884,0.97,HILIC-pos_QI5954,537.2048,1.05,HILIC-pos
HILIC-pos_QI6942--->HILIC-pos_QI7045,[M+Na]+,23.015300000000025,0.026079299009094115,HILIC-pos_QI6942,747.2612,0.97,HILIC-pos_QI7045,770.2765,1.04,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2740,[M+HCOO]-,44.99280000000002,0.005402851259056263,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2740,216.0943,0.83,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2734,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2734,216.0941,0.88,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2736,[M+HCOO]-,44.99260000000001,0.005602851259062902,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2736,216.0941,1.03,HILIC-pos
HILIC-pos_QI1262--->HILIC-pos_QI1801,[M+Na]+,23.0257,0.03647929900906988,HILIC-pos_QI1262,148.0758,1.04,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos
HILIC-pos_QI1801--->HILIC-pos_QI2565,[M+Cl]-,34.9469,0.02250125990907037,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos_QI2565,206.0484,1.04,HILIC-pos
HILIC-pos_QI808--->HILIC-pos_QI1801,[M+HCOO]-,45.04629999999999,0.048097148740914974,HILIC-pos_QI808,126.0552,1.28,HILIC-pos_QI1801,171.1015,0.98,HILIC-pos
HILIC-pos_QI4157--->HILIC-pos_QI4143,[M-H]-,-1.020399999999995,0.013123547679064984,HILIC-pos_QI4157,305.1529,0.98,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI4157--->HILIC-pos_QI4659,[M+HCOO]-,45.0215,0.02329714874093014,HILIC-pos_QI4157,305.1529,0.98,HILIC-pos_QI4659,350.1744,1.26,HILIC-pos
HILIC-pos_QI3807--->HILIC-pos_QI3820,M+1,0.9256000000000313,0.07775483779996861,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3838--->HILIC-pos_QI3820,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3838,281.1164,0.96,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3839--->HILIC-pos_QI3820,[M-H]-,-1.0845999999999663,0.07732354767903615,HILIC-pos_QI3839,281.133,1.01,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI3820,M+1,0.911200000000008,0.0921548377999919,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3834--->HILIC-pos_QI3820,[M-H]-,-1.008199999999988,0.00092354767905789,HILIC-pos_QI3834,281.0566,1.09,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3820--->HILIC-pos_QI4353,[M+CH4CN]+,42.09469999999999,0.060874446189060905,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos_QI4353,322.1431,1.18,HILIC-pos
HILIC-pos_QI5686--->HILIC-pos_QI5807,[M+Na]+,23.075800000000015,0.08657929900908456,HILIC-pos_QI5686,489.1338,0.99,HILIC-pos_QI5807,512.2096,1.02,HILIC-pos
HILIC-pos_QI6849--->HILIC-pos_QI6937,[M+Na]+,23.076000000000022,0.0867792990090912,HILIC-pos_QI6849,722.2055,0.99,HILIC-pos_QI6937,745.2815,1,HILIC-pos
HILIC-pos_QI6884--->HILIC-pos_QI7045,[M+K]+,39.01080000000002,0.04764189990908818,HILIC-pos_QI6884,731.2657,0.99,HILIC-pos_QI7045,770.2765,1.04,HILIC-pos
HILIC-pos_QI6719--->HILIC-pos_QI6884,[M+K]+,38.90560000000005,0.057558100090879805,HILIC-pos_QI6719,692.3601,1.18,HILIC-pos_QI6884,731.2657,0.99,HILIC-pos
HILIC-pos_QI3101--->HILIC-pos_QI3472,[M+Na]+,23.075800000000015,0.08657929900908456,HILIC-pos_QI3101,232.9855,1,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos
HILIC-pos_QI3113--->HILIC-pos_QI3101,[M-H]-,-1.093999999999994,0.08672354767906398,HILIC-pos_QI3113,234.0795,1.04,HILIC-pos_QI3101,232.9855,1,HILIC-pos
HILIC-pos_QI3075--->HILIC-pos_QI3101,M+1,0.9581000000000017,0.04525483779999817,HILIC-pos_QI3075,232.0274,1.1,HILIC-pos_QI3101,232.9855,1,HILIC-pos
HILIC-pos_QI4026--->HILIC-pos_QI4695,[M+CH3COO]-,58.968399999999974,0.045452915719096154,HILIC-pos_QI4026,295.1322,1.01,HILIC-pos_QI4695,354.1006,1,HILIC-pos
HILIC-pos_QI4266--->HILIC-pos_QI4695,[M+K]+,38.9787,0.015541899909074175,HILIC-pos_QI4266,315.1219,1.24,HILIC-pos_QI4695,354.1006,1,HILIC-pos
HILIC-pos_QI6849--->HILIC-pos_QI6937,[M+Na]+,23.076000000000022,0.0867792990090912,HILIC-pos_QI6849,722.2055,0.99,HILIC-pos_QI6937,745.2815,1,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3807,[M+Na]+,23.061499999999967,0.07227929900903618,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3807,279.1228,0.96,HILIC-pos
HILIC-pos_QI3101--->HILIC-pos_QI3472,[M+Na]+,23.075800000000015,0.08657929900908456,HILIC-pos_QI3101,232.9855,1,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3809,[M+Na]+,23.07589999999999,0.08667929900905946,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
HILIC-pos_QI2657--->HILIC-pos_QI3472,[M+HCOO]-,45.05740000000003,0.05919714874095661,HILIC-pos_QI2657,211.0039,1.06,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI4266,[M+CH3COO]-,59.060599999999965,0.046747084280895024,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI4266,315.1219,1.24,HILIC-pos
HILIC-pos_QI3839--->HILIC-pos_QI3820,[M-H]-,-1.0845999999999663,0.07732354767903615,HILIC-pos_QI3839,281.133,1.01,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3839--->HILIC-pos_QI4143,[M+Na]+,22.999500000000012,0.0102792990090812,HILIC-pos_QI3839,281.133,1.01,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI3839--->HILIC-pos_QI4066,[M+NH4]+,17.994200000000035,0.03962555381089672,HILIC-pos_QI3839,281.133,1.01,HILIC-pos_QI4066,299.1272,1.17,HILIC-pos
HILIC-pos_QI4026--->HILIC-pos_QI4695,[M+CH3COO]-,58.968399999999974,0.045452915719096154,HILIC-pos_QI4026,295.1322,1.01,HILIC-pos_QI4695,354.1006,1,HILIC-pos
HILIC-pos_QI4026--->HILIC-pos_QI4300,[M+Na]+,23.015999999999963,0.026779299009032087,HILIC-pos_QI4026,295.1322,1.01,HILIC-pos_QI4300,318.1482,1.05,HILIC-pos
HILIC-pos_QI3787--->HILIC-pos_QI4026,[M+NH4]+,18.034899999999993,0.0010744461890617174,HILIC-pos_QI3787,277.0973,1.1,HILIC-pos_QI4026,295.1322,1.01,HILIC-pos
HILIC-pos_QI3783--->HILIC-pos_QI4026,[M+NH4]+,18.047000000000025,0.013174446189093914,HILIC-pos_QI3783,277.0852,1.19,HILIC-pos_QI4026,295.1322,1.01,HILIC-pos
HILIC-pos_QI4487--->HILIC-pos_QI4949,[M+HCOO]-,44.91660000000002,0.08160285125905631,HILIC-pos_QI4487,335.1997,1.02,HILIC-pos_QI4949,380.1163,1.01,HILIC-pos
HILIC-pos_QI4266--->HILIC-pos_QI5273,[M+CF3COO]-,112.9939,0.008312520970918058,HILIC-pos_QI4266,315.1219,1.24,HILIC-pos_QI5273,428.1158,1.01,HILIC-pos
HILIC-pos_QI5273--->HILIC-pos_QI5424,[M+NH4]+,18.06880000000001,0.034974446189078634,HILIC-pos_QI5273,428.1158,1.01,HILIC-pos_QI5424,446.1846,1.39,HILIC-pos
HILIC-pos_QI5729--->HILIC-pos_QI5973,[M+CH4CN]+,42.04669999999999,0.012874446189059086,HILIC-pos_QI5729,498.1939,1.03,HILIC-pos_QI5973,540.2406,1.01,HILIC-pos
HILIC-pos_QI785--->HILIC-pos_QI1262,[M+Na]+,23.015799999999984,0.02657929900905387,HILIC-pos_QI785,125.06,1.02,HILIC-pos_QI1262,148.0758,1.04,HILIC-pos
HILIC-pos_QI785--->HILIC-pos_QI1624,[M+K]+,39.010699999999986,0.04754189990905644,HILIC-pos_QI785,125.06,1.02,HILIC-pos_QI1624,164.0707,1.08,HILIC-pos
HILIC-pos_QI785--->HILIC-pos_QI808,M+1,0.995199999999997,0.008154837800002923,HILIC-pos_QI785,125.06,1.02,HILIC-pos_QI808,126.0552,1.28,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI3604,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI948--->HILIC-pos_QI1353,[M+NH4]+,18.01049999999998,0.02332555381095247,HILIC-pos_QI948,134.0602,1.04,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI2657,[M+CH3COO]-,58.9332,0.08065291571907096,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI2657,211.0039,1.06,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI1353,[M+CH4CN]+,42.01019999999998,0.023625553810944666,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI1353,[M+CH4CN]+,42.01019999999998,0.023625553810944666,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI3604,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI540--->HILIC-pos_QI2848,[M+CF3COO]-,113.0142,0.028612520970924038,HILIC-pos_QI540,110.0605,1.08,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI1624--->HILIC-pos_QI2848,[M+CH3COO]-,59.00400000000002,0.009852915719051225,HILIC-pos_QI1624,164.0707,1.08,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI538--->HILIC-pos_QI2848,[M+CF3COO]-,113.0142,0.028612520970924038,HILIC-pos_QI538,110.0605,1.42,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI2862,M+1,0.9136000000000024,0.08975483779999749,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI2862,223.9883,1.43,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI3590,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI3590,264.0536,1.02,HILIC-pos
HILIC-pos_QI1353--->HILIC-pos_QI3604,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1353,152.0707,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI2848--->HILIC-pos_QI3604,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI2848,223.0747,1.02,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI3590,[M-H]-,-1.0679999999999836,0.060723547679053524,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI3590,264.0536,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI4174,[M+CH4CN]+,42.046899999999994,0.013074446189065725,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI4174,307.1685,1.02,HILIC-pos
HILIC-pos_QI2565--->HILIC-pos_QI3604,[M+CH3COO]-,59.073200000000014,0.05934708428094382,HILIC-pos_QI2565,206.0484,1.04,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos
HILIC-pos_QI3604--->HILIC-pos_QI4143,[M+K]+,39.01089999999999,0.04774189990906308,HILIC-pos_QI3604,265.1216,1.02,HILIC-pos_QI4143,304.1325,1.06,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI4042,[M+NH4]+,17.97429999999997,0.059525553810960474,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI4042,297.1115,0.97,HILIC-pos
HILIC-pos_QI3809--->HILIC-pos_QI3820,M+1,0.911200000000008,0.0921548377999919,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos_QI3820,280.0484,0.99,HILIC-pos
HILIC-pos_QI3472--->HILIC-pos_QI3809,[M+Na]+,23.07589999999999,0.08667929900905946,HILIC-pos_QI3472,256.0613,1.01,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
HILIC-pos_QI1660--->HILIC-pos_QI3809,[M+CF3COO]-,113.05090000000001,0.06531252097093443,HILIC-pos_QI1660,166.0863,1.04,HILIC-pos_QI3809,279.1372,1.02,HILIC-pos
